Region,Country,Gateway,cabinndclass,Metric,SubMetric,Values,Month
NSWEUR,U.K,LHR,F,Bookings,CY,0.22,20170101
NSWEUR,U.K,LHR,F,Bookings,VTL(%),12,20170101
NSWEUR,U.K,LHR,F,Bookings,TKT(%),94,20170101
NSWEUR,U.K,LHR,F,Passenger,Forecast,0.45,20170101
NSWEUR,U.K,LHR,F,Passenger,BGT,0.46,20170101
NSWEUR,U.K,LHR,F,Passenger,VTB(%),2,20170101
NSWEUR,U.K,LHR,F,Passenger,VTL(%),9,20170101
NSWEUR,U.K,LHR,F,ATV,Forecast,306.7,20170101
NSWEUR,U.K,LHR,F,ATV,BGT,348.9,20170101
NSWEUR,U.K,LHR,F,ATV,VTB(%),12,20170101
NSWEUR,U.K,LHR,F,ATV,VTL(%),7,20170101
NSWEUR,U.K,LHR,F,Revenue,Forecast,138,20170101
NSWEUR,U.K,LHR,F,Revenue,BGT,159.79,20170101
NSWEUR,U.K,LHR,F,Revenue,VTB(%),14,20170101
NSWEUR,U.K,LHR,F,Revenue,VTL(%),1,20170101
NSWEUR,U.K,LHR,F,SAmarketShare(%),CY(%),5.73,20170101
NSWEUR,U.K,LHR,F,SAmarketShare(%),VTL(pts),3.17,20170101
NSWEUR,U.K,LHR,F,RASK,CY,2645,20170101
NSWEUR,U.K,LHR,F,RASK,VTL,5,20170101
NSWEUR,U.K,LHR,F,ASK,CY,1,20170101
NSWEUR,U.K,LHR,F,ASK,V.LY,6.5,20170101
NSWEUR,U.K,LHR,F,Yield,CY,6.2,20170101
NSWEUR,U.K,LHR,F,Yield,VTL,10,20170101
NSWEUR,U.K,LHR,F,LoadFactor,CY,77,20170101
NSWEUR,U.K,LHR,F,LoadFactor,VTL,1.23,20170101
NSWEUR,U.K,LHR,J,Bookings,CY,0.21,20170101
NSWEUR,U.K,LHR,J,Bookings,VTL(%),24,20170101
NSWEUR,U.K,LHR,J,Bookings,TKT(%),96,20170101
NSWEUR,U.K,LHR,J,Passenger,Forecast,0.23,20170101
NSWEUR,U.K,LHR,J,Passenger,BGT,0.25,20170101
NSWEUR,U.K,LHR,J,Passenger,VTB(%),3,20170101
NSWEUR,U.K,LHR,J,Passenger,VTL(%),8,20170101
NSWEUR,U.K,LHR,J,ATV,Forecast,305.2,20170101
NSWEUR,U.K,LHR,J,ATV,BGT,371.5,20170101
NSWEUR,U.K,LHR,J,ATV,VTB(%),11,20170101
NSWEUR,U.K,LHR,J,ATV,VTL(%),6,20170101
NSWEUR,U.K,LHR,J,Revenue,Forecast,132,20170101
NSWEUR,U.K,LHR,J,Revenue,BGT,123.6,20170101
NSWEUR,U.K,LHR,J,Revenue,VTB(%),13,20170101
NSWEUR,U.K,LHR,J,Revenue,VTL(%),2,20170101
NSWEUR,U.K,LHR,J,SAmarketShare(%),CY(%),5.23,20170101
NSWEUR,U.K,LHR,J,SAmarketShare(%),VTL(pts),3.12,20170101
NSWEUR,U.K,LHR,J,RASK,CY,2465,20170101
NSWEUR,U.K,LHR,J,RASK,VTL,4,20170101
NSWEUR,U.K,LHR,J,ASK,CY,2,20170101
NSWEUR,U.K,LHR,J,ASK,V.LY,6.2,20170101
NSWEUR,U.K,LHR,J,Yield,CY,6.3,20170101
NSWEUR,U.K,LHR,J,Yield,VTL,9,20170101
NSWEUR,U.K,LHR,J,LoadFactor,CY,86,20170101
NSWEUR,U.K,LHR,J,LoadFactor,VTL,1.23,20170101
NSWEUR,U.K,LHR,Y,Bookings,CY,0.23,20170101
NSWEUR,U.K,LHR,Y,Bookings,VTL(%),45,20170101
NSWEUR,U.K,LHR,Y,Bookings,TKT(%),88,20170101
NSWEUR,U.K,LHR,Y,Passenger,Forecast,0.32,20170101
NSWEUR,U.K,LHR,Y,Passenger,BGT,0.36,20170101
NSWEUR,U.K,LHR,Y,Passenger,VTB(%),7,20170101
NSWEUR,U.K,LHR,Y,Passenger,VTL(%),7,20170101
NSWEUR,U.K,LHR,Y,ATV,Forecast,312.5,20170101
NSWEUR,U.K,LHR,Y,ATV,BGT,359.6,20170101
NSWEUR,U.K,LHR,Y,ATV,VTB(%),9,20170101
NSWEUR,U.K,LHR,Y,ATV,VTL(%),5,20170101
NSWEUR,U.K,LHR,Y,Revenue,Forecast,135,20170101
NSWEUR,U.K,LHR,Y,Revenue,BGT,154.3,20170101
NSWEUR,U.K,LHR,Y,Revenue,VTB(%),12,20170101
NSWEUR,U.K,LHR,Y,Revenue,VTL(%),4,20170101
NSWEUR,U.K,LHR,Y,SAmarketShare(%),CY(%),5.36,20170101
NSWEUR,U.K,LHR,Y,SAmarketShare(%),VTL(pts),3.63,20170101
NSWEUR,U.K,LHR,Y,RASK,CY,2456,20170101
NSWEUR,U.K,LHR,Y,RASK,VTL,5,20170101
NSWEUR,U.K,LHR,Y,ASK,CY,3,20170101
NSWEUR,U.K,LHR,Y,ASK,V.LY,6.5,20170101
NSWEUR,U.K,LHR,Y,Yield,CY,6.6,20170101
NSWEUR,U.K,LHR,Y,Yield,VTL,8,20170101
NSWEUR,U.K,LHR,Y,LoadFactor,CY,75,20170101
NSWEUR,U.K,LHR,Y,LoadFactor,VTL,1.26,20170101
NSWEUR,U.K,MAN,F,Bookings,CY,0.21,20170101
NSWEUR,U.K,MAN,F,Bookings,VTL(%),21,20170101
NSWEUR,U.K,MAN,F,Bookings,TKT(%),58,20170101
NSWEUR,U.K,MAN,F,Passenger,Forecast,0.25,20170101
NSWEUR,U.K,MAN,F,Passenger,BGT,0.23,20170101
NSWEUR,U.K,MAN,F,Passenger,VTB(%),6,20170101
NSWEUR,U.K,MAN,F,Passenger,VTL(%),6,20170101
NSWEUR,U.K,MAN,F,ATV,Forecast,302.9,20170101
NSWEUR,U.K,MAN,F,ATV,BGT,352.3,20170101
NSWEUR,U.K,MAN,F,ATV,VTB(%),10,20170101
NSWEUR,U.K,MAN,F,ATV,VTL(%),6,20170101
NSWEUR,U.K,MAN,F,Revenue,Forecast,136,20170101
NSWEUR,U.K,MAN,F,Revenue,BGT,124.3,20170101
NSWEUR,U.K,MAN,F,Revenue,VTB(%),10,20170101
NSWEUR,U.K,MAN,F,Revenue,VTL(%),6,20170101
NSWEUR,U.K,MAN,F,SAmarketShare(%),CY(%),4.99,20170101
NSWEUR,U.K,MAN,F,SAmarketShare(%),VTL(pts),3.98,20170101
NSWEUR,U.K,MAN,F,RASK,CY,2179,20170101
NSWEUR,U.K,MAN,F,RASK,VTL,3,20170101
NSWEUR,U.K,MAN,F,ASK,CY,2,20170101
NSWEUR,U.K,MAN,F,ASK,V.LY,6.5,20170101
NSWEUR,U.K,MAN,F,Yield,CY,6.5,20170101
NSWEUR,U.K,MAN,F,Yield,VTL,9,20170101
NSWEUR,U.K,MAN,F,LoadFactor,CY,66,20170101
NSWEUR,U.K,MAN,F,LoadFactor,VTL,1.32,20170101
NSWEUR,U.K,MAN,Y,Bookings,CY,0.15,20170101
NSWEUR,U.K,MAN,Y,Bookings,VTL(%),23,20170101
NSWEUR,U.K,MAN,Y,Bookings,TKT(%),68,20170101
NSWEUR,U.K,MAN,Y,Passenger,Forecast,0.42,20170101
NSWEUR,U.K,MAN,Y,Passenger,BGT,0.25,20170101
NSWEUR,U.K,MAN,Y,Passenger,VTB(%),5,20170101
NSWEUR,U.K,MAN,Y,Passenger,VTL(%),5,20170101
NSWEUR,U.K,MAN,Y,ATV,Forecast,302.6,20170101
NSWEUR,U.K,MAN,Y,ATV,BGT,333.6,20170101
NSWEUR,U.K,MAN,Y,ATV,VTB(%),11,20170101
NSWEUR,U.K,MAN,Y,ATV,VTL(%),8,20170101
NSWEUR,U.K,MAN,Y,Revenue,Forecast,123,20170101
NSWEUR,U.K,MAN,Y,Revenue,BGT,145.3,20170101
NSWEUR,U.K,MAN,Y,Revenue,VTB(%),11,20170101
NSWEUR,U.K,MAN,Y,Revenue,VTL(%),5,20170101
NSWEUR,U.K,MAN,Y,SAmarketShare(%),CY(%),5.49,20170101
NSWEUR,U.K,MAN,Y,SAmarketShare(%),VTL(pts),3.56,20170101
